0.6Amp,0.6MeV,0.3Amp,0.3MeV
2.45E+01,99.31818182,56.7,98.53211009
2.46E+01,99.31818182,56.8,98.53211009
2.46E+01,99.31818182,56.8,98.53211009
2.47E+01,99.31818182,56.8,98.53211009
2.47E+01,99.31818182,56.8,98.53211009
2.47E+01,99.31818182,56.9,98.62385321
2.48E+01,99.36363636,56.9,98.62385321
2.48E+01,99.36363636,57,98.62385321
2.49E+01,99.40909091,57,98.62385321
2.49E+01,99.40909091,57.2,98.62385321
2.52E+01,99.40909091,57.3,98.62385321
2.55E+01,99.40909091,57.3,98.62385321
2.56E+01,99.40909091,57.4,98.62385321
2.56E+01,99.40909091,57.5,98.62385321
2.56E+01,99.40909091,57.5,98.62385321
2.56E+01,99.45454545,57.5,98.62385321
2.57E+01,99.45454545,57.5,98.62385321
2.58E+01,99.45454545,57.6,98.62385321
2.58E+01,99.45454545,57.7,98.62385321
2.58E+01,99.45454545,57.7,98.62385321
2.58E+01,99.45454545,57.8,98.71559633
2.59E+01,99.45454545,57.9,98.71559633
2.61E+01,99.5,57.9,98.71559633
2.61E+01,99.5,58,98.71559633
2.62E+01,99.5,58.1,98.71559633
2.63E+01,99.5,58.1,98.71559633
2.63E+01,99.5,58.2,98.71559633
2.63E+01,99.5,58.3,98.71559633
2.64E+01,99.5,58.3,98.71559633
2.64E+01,99.5,58.3,98.71559633
2.65E+01,99.5,58.3,98.71559633
2.65E+01,99.5,58.7,98.80733945
2.66E+01,99.5,58.8,98.80733945
2.67E+01,99.54545455,58.9,98.80733945
2.68E+01,99.54545455,58.9,98.80733945
2.68E+01,99.54545455,59,98.80733945
2.68E+01,99.54545455,59,98.80733945
2.69E+01,99.54545455,59.1,98.89908257
2.69E+01,99.54545455,59.3,98.89908257
2.69E+01,99.54545455,59.3,98.89908257
2.69E+01,99.54545455,59.4,98.89908257
2.70E+01,99.54545455,59.6,98.89908257
2.71E+01,99.54545455,59.7,98.89908257
2.71E+01,99.59090909,59.8,98.89908257
2.72E+01,99.59090909,60,98.89908257
2.72E+01,99.59090909,60,98.89908257
2.72E+01,99.59090909,60.1,98.89908257
2.75E+01,99.59090909,60.1,98.99082569
2.76E+01,99.59090909,60.1,98.99082569
2.76E+01,99.59090909,60.2,98.99082569
2.77E+01,99.59090909,60.3,98.99082569
2.79E+01,99.59090909,60.4,98.99082569
2.80E+01,99.59090909,60.5,98.99082569
2.81E+01,99.59090909,60.5,98.99082569
2.82E+01,99.63636364,60.6,98.99082569
2.83E+01,99.63636364,60.7,98.99082569
2.85E+01,99.63636364,60.7,98.99082569
2.85E+01,99.63636364,60.7,98.99082569
2.85E+01,99.63636364,60.9,98.99082569
2.86E+01,99.63636364,60.9,98.99082569
2.87E+01,99.63636364,61.2,98.99082569
2.87E+01,99.63636364,61.3,99.08256881
2.87E+01,99.63636364,61.4,99.08256881
2.88E+01,99.63636364,61.4,99.08256881
2.89E+01,99.63636364,61.5,99.08256881
2.90E+01,99.63636364,61.5,99.08256881
2.91E+01,99.63636364,61.6,99.08256881
2.91E+01,99.68181818,61.8,99.08256881
2.93E+01,99.68181818,61.8,99.08256881
2.95E+01,99.68181818,61.8,99.08256881
2.95E+01,99.72727273,61.9,99.17431193
2.96E+01,99.72727273,62.1,99.17431193
2.96E+01,99.72727273,62.2,99.17431193
2.97E+01,99.72727273,62.2,99.17431193
2.98E+01,99.72727273,62.3,99.17431193
2.98E+01,99.72727273,62.4,99.26605505
2.99E+01,99.77272727,62.4,99.26605505
3.00E+01,99.77272727,62.5,99.26605505
3.01E+01,99.77272727,62.9,99.26605505
3.02E+01,99.77272727,62.9,99.26605505
3.02E+01,99.77272727,63,99.26605505
3.02E+01,99.77272727,63.1,99.26605505
3.02E+01,99.77272727,63.2,99.26605505
3.03E+01,99.77272727,63.3,99.26605505
3.04E+01,99.77272727,63.4,99.35779817
3.04E+01,99.81818182,63.6,99.35779817
3.05E+01,99.81818182,63.7,99.35779817
3.05E+01,99.81818182,63.8,99.35779817
3.05E+01,99.81818182,63.9,99.35779817
3.05E+01,99.86363636,64,99.35779817
3.06E+01,99.86363636,64.1,99.35779817
3.07E+01,99.86363636,64.3,99.35779817
3.08E+01,99.86363636,64.4,99.35779817
3.08E+01,99.86363636,64.5,99.35779817
3.08E+01,99.86363636,64.6,99.44954128
3.08E+01,99.86363636,64.8,99.44954128
3.09E+01,99.86363636,64.8,99.44954128
3.09E+01,99.86363636,64.8,99.44954128
3.09E+01,99.86363636,64.9,99.44954128
3.10E+01,99.86363636,64.9,99.44954128
3.10E+01,99.86363636,64.9,99.44954128
3.10E+01,99.90909091,64.9,99.5412844
3.11E+01,99.90909091,65,99.5412844
3.12E+01,99.90909091,65,99.5412844
3.12E+01,99.90909091,65.1,99.5412844
3.14E+01,99.90909091,65.2,99.5412844
3.15E+01,99.95454545,65.2,99.5412844
3.15E+01,99.95454545,65.3,99.5412844
3.16E+01,99.95454545,65.3,99.5412844
3.16E+01,99.95454545,65.4,99.5412844
3.17E+01,99.95454545,65.5,99.5412844
3.17E+01,99.95454545,65.6,99.5412844
3.17E+01,99.95454545,65.6,99.5412844
3.18E+01,99.95454545,65.6,99.5412844
3.19E+01,99.95454545,65.7,99.5412844
3.20E+01,99.95454545,65.7,99.5412844
3.20E+01,99.95454545,65.7,99.5412844
3.21E+01,100,65.8,99.63302752
3.21E+01,100,65.9,99.63302752
3.21E+01,100,65.9,99.63302752
3.22E+01,100,65.9,99.63302752
3.24E+01,100,66,99.63302752
3.25E+01,100,66.1,99.63302752
3.26E+01,100,66.1,99.63302752
3.26E+01,100,66.3,99.63302752
3.27E+01,100,66.5,99.63302752
3.30E+01,100,66.6,99.72477064
3.30E+01,100,66.6,99.72477064
3.30E+01,100,66.7,99.72477064
3.31E+01,100,66.7,99.72477064
3.32E+01,100,66.7,99.72477064
3.33E+01,100,66.7,99.72477064
3.35E+01,100.0454545,66.8,99.72477064
3.37E+01,100.0454545,66.9,99.72477064
3.38E+01,100.0454545,67,99.72477064
3.38E+01,100.0454545,67.1,99.81651376
3.39E+01,100.0454545,67.2,99.81651376
3.39E+01,100.0909091,67.4,99.81651376
3.40E+01,100.0909091,67.5,99.81651376
3.41E+01,100.0909091,67.5,99.81651376
3.41E+01,100.0909091,67.8,99.81651376
3.42E+01,100.0909091,68,99.81651376
3.42E+01,100.0909091,68,99.81651376
3.43E+01,100.0909091,68.2,99.81651376
3.43E+01,100.0909091,68.3,99.81651376
3.44E+01,100.1363636,68.4,99.81651376
3.45E+01,100.1363636,68.4,99.81651376
3.46E+01,100.1363636,68.4,99.81651376
3.46E+01,100.1363636,68.7,99.81651376
3.47E+01,100.1363636,68.7,99.90825688
3.47E+01,100.1363636,68.7,99.90825688
